raw_data,GT Entity (low-level),Cat (normalized obs.),super category,super super cat,Final_cat
obstructive sleep apnea,obstructive sleep apnea,obstructive sleep apnea,,,NCD
osa,osa,obstructive sleep apnea,,,NCD
osteoarthritis,osteoarthritis,osteoarthritis,,,NCD
pancreatic ca,pancreatic ca,pancreatic cancer,,,NCD
pancreatic cancer,pancreatic cancer,pancreatic cancer,,,NCD
parkinsonism,parkinsonism,Parkinsonism,,,NCD
pad,pad,Peripheral arterial disease,,,NCD
pvd,pvd,peripheral vascular diseases,,,NCD
pbc,pbc,primary biliary cholangitis,,,NCD
pe,pe,pulmonary embolism,,,NCD
rheumatoid arthritis,rheumatoid arthritis,rheumatoid arthritis,,,NCD
rle cellulitis,rle cellulitis,right lower extremity cellulitis,,,NCD
seizure disorder,seizure disorder,seizure disorder,,,NCD
septic right knee,septic right knee,septic right knee,,,NCD
sleep apnea,sleep apnea,sleep apnea,,,NCD
sbo,sbo,small bowel obstruction,,,NCD
spinal lymphoma,spinal lymphoma,spinal lymphoma,,,NCD
splenic pseudoaneurysm,splenic pseudoaneurysm,splenic pseudoaneurysm,,,NCD
scc tongue,scc tongue,squamous cell carcinoma tongue,,,NCD
stemi,stemi,ST-Segment Elevation Myocardial Infarction,,,NCD
stroke,stroke,stroke,,,NCD
sah,sah,subarachnoid hemorrhage,,,NCD
subq hematoma,subq hematoma,subcutaneous hematoma,,,NCD
throat cancer,throat cancer,throat cancer,,,NCD
tia,tia,TIA,,,NCD
tongue scc cancer,tongue scc cancer,tongue scc cancer,,,NCD
tef,tef,Tracheoesophageal fistula,,,NCD
t1dm,t1dm,type1 diabetes mellitus,,,NCD
type 1 dm,type 1 dm,type1 diabetes mellitus,,,NCD
type i diabetes,type i diabetes,type1 diabetes mellitus,,,NCD
t2dm,t2dm,type2 diabetes mellitus,,,NCD
ulcers,ulcers,ulcer,,,NCD
unstable angina,unstable angina,unstable angina,,,NCD
uti,uti,urinary tract infection,,,NCD
valvular heart disease,valvular heart disease,valvular heart disease,,,NCD
ventral hernia,ventral hernia,ventral hernia,,,NCD
wet gangrene,wet gangrene,wet gangrene,,,NCD
acute myelocytic leukemia,acute myelocytic leukemia,acute myelocytic leukemia,,,NCD
afib rvr,afib rvr,afib rvr,,,NCD
aids,AIDS,AIDS,,,NCD
aml,aml,acute myelocytic leukemia,,,NCD
anuric esrd,anuric esrd,anuric end stage renal disease,,,NCD
appendicitis,appendicitis,appendicitis,,,NCD
as,as,aortic stenosis,,,NCD
as/ms,as/ms,aortic stenosis/mitral stenosis,,,NCD
bipolar disease,bipolar disease,bipolar disease,,,NCD
brain mets,brain mets,brain metastasis,,,NCD
breast cancer,breast cancer,breast cancer,,,NCD
burkitt lymphoma,burkitt lymphoma,burkitt lymphoma,,,NCD
burkitts lymphoma,burkitts lymphoma,burkitts lymphoma,,,NCD
c diff colitis,c diff colitis,clostridium difficile colitis,,,NCD
cad,cad,coronary artery disease,,,NCD
cancer,cancer,cancer,,,NCD
cauda equina syndrome,cauda equina syndrome,cauda equina syndrome,,,NCD
cerebral palsy,cerebral palsy,cerebral palsy,,,NCD
ckd,ckd,Chronic kidney disease,,,NCD
cll,cll,chronic lymphocytic leukemia,,,NCD
colitis,colitis,colitis,,,NCD
colon cancer,colon cancer,colon cancer,,,NCD
comorbidities,comorbidities,comorbidity,,,NCD
complications,complications,complication,,,NCD
complication,complication,complication,,,NCD
coronary artery disease,coronary artery disease,coronary artery disease,,,NCD
coronary disease,coronary disease,coronary disease,,,NCD
crest,crest,CREST syndrome,,,NCD
crohns disease,crohns disease,Crohn disease,,,NCD
deep venous thrombosis,deep venous thrombosis,deep venous thrombosis,,,NCD
dementia,dementia,dementia,,,NCD
diabetes,diabetes,diabetes,,,NCD
diabetes insipidus,diabetes insipidus,diabetes insipidus,,,NCD
diabetic,diabetic,diabetic,,,NCD
diabetic nephropathy,diabetic nephropathy,diabetic nephropathy,,,NCD
diverticulosis,diverticulosis,diverticulosis,,,NCD
dka,dka,Diabetic ketoacidosis,,,NCD
dm,dm,Diabetes Mellitus,,,NCD
dm2,dm2,Diabetes Mellitus 2,,,NCD
dmi,dmi,Diabetic muscle infarction,,,NCD
dvt/pe,dvt/pe,deep vein thrombosis / pulmonary embolism,,,NCD
dvts,dvts,deep vein thrombosis,,,NCD
end stage renal disease,end stage renal disease,end stage renal disease,,,NCD
end-stage renal disease,end-stage renal disease,end-stage renal disease,,,NCD
esophageal fistula,esophageal fistula,esophageal fistula,,,NCD
esrd,esrd,end stage renal disease,,,NCD
etoh hepatitis,etoh hepatitis,ethanol hepatitis,,,NCD
gerd,gerd,Gastroesophageal reflux disease,,,NCD
gout,gout,gout,,,NCD
hcc,hcc,Hepatocellular carcinoma,,,NCD
hepc cirrhosis,hepc cirrhosis,Hepatitis C cirrhosis,,,NCD
hld,hld,hyperlipidemia,,,NCD
hlp,hlp,hyperlipidemia,,,NCD
hodgkins lymphoma,hodgkins lymphoma,Hodgkin lymphoma,,,NCD
hypoventilation syndrome,hypoventilation syndrome,hypoventilation syndrome,,,NCD
iddm,iddm,Insulin dependent diabetes mellitus,,,NCD
iga nephropathy,iga nephropathy,IgA nephropathy,,,NCD
igg deficiency,igg deficiency,IgG deficiency,,,NCD
inflammatory arthritis,inflammatory arthritis,inflammatory arthritis,,,NCD
iph,iph,intraparenchymal hemorrhage,,,NCD
ischemic bowel,ischemic bowel,ischemic bowel,,,NCD
laryngeal cancer,laryngeal cancer,laryngeal cancer,,,NCD
left aca stroke,left aca stroke,left anterior cerebral artery stroke,,,NCD
lymphoma,lymphoma,lymphoma,,,NCD
mast cell activation syndrome,mast cell activation syndrome,mast cell activation syndrome,,,NCD
mast cell degranulation crisis,mast cell degranulation crisis,mast cell degranulation crisis,,,NCD
mast cell degranulation syndrome,mast cell degranulation syndrome,mast cell degranulation syndrome,,,NCD
mdr uti,mdr uti,Multidrug Resistance Urinary Tract Infection,,,NCD
melanoma,melanoma,melanoma,,,NCD
met rcc,met rcc,metastatic renal cell carcnionma,,,NCD
metastatic breast cancer,metastatic breast cancer,metastatic breast cancer,,,NCD
metastatic esophageal cancer,metastatic esophageal cancer,metastatic esophageal cancer,,,NCD
metastatic hepatocellular carcinoma,metastatic hepatocellular carcinoma,metastatic hepatocellular carcinoma,,,NCD
metastatic rcc,metastatic rcc,metastatic rcc,,,NCD
metastatic renal cancer,metastatic renal cancer,metastatic renal cancer,,,NCD
metastatic renal disease,metastatic renal disease,metastatic renal disease,,,NCD
morbid obesity,morbid obesity,morbid obesity,,,NCD
multiple comorbidities,multiple comorbidities,multiple comorbidities,,,NCD
multiple myeloma,multiple myeloma,multiple myeloma,,,NCD
myasthenia,myasthenia,myasthenia,,,NCD
myelodysplastic syndrome,myelodysplastic syndrome,myelodysplastic syndrome,,,NCD
myeloma,myeloma,myeloma,,,NCD
nephropathy,nephropathy,nephropathy,,,NCD
neurogenic bladder,neurogenic bladder,neurogenic bladder,,,NCD
nstemi,nstemi,non-st elevated myocardial infarction,,,NCD
obstructed renal transplant,obstructed renal transplant,obstructed renal transplant,,,NCD
obstructive sleep apnea,obstructive sleep apnea,obstructive sleep apnea,,,NCD
osa,osa,obstructive sleep apnea,,,NCD
osteoarthritis,osteoarthritis,osteoarthritis,,,NCD
pad,pad,Peripheral arterial disease,,,NCD
pancreatic ca,pancreatic ca,pancreatic cancer,,,NCD
pancreatic cancer,pancreatic cancer,pancreatic cancer,,,NCD
parkinsonism,parkinsonism,Parkinsonism,,,NCD
pbc,pbc,primary biliary cholangitis,,,NCD
pe,pe,pulmonary embolism,,,NCD
pvd,pvd,peripheral vascular diseases,,,NCD
rheumatoid arthritis,rheumatoid arthritis,rheumatoid arthritis,,,NCD
rle cellulitis,rle cellulitis,right lower extremity cellulitis,,,NCD
sah,sah,subarachnoid hemorrhage,,,NCD
sbo,sbo,small bowel obstruction,,,NCD
scc tongue,scc tongue,squamous cell carcinoma tongue,,,NCD
seizure disorder,seizure disorder,seizure disorder,,,NCD
septic right knee,septic right knee,septic right knee,,,NCD
sleep apnea,sleep apnea,sleep apnea,,,NCD
spinal lymphoma,spinal lymphoma,spinal lymphoma,,,NCD
splenic pseudoaneurysm,splenic pseudoaneurysm,splenic pseudoaneurysm,,,NCD
stemi,stemi,ST-Segment Elevation Myocardial Infarction,,,NCD
stroke,stroke,stroke,,,NCD
subq hematoma,subq hematoma,subcutaneous hematoma,,,NCD
t1dm,t1dm,type1 diabetes mellitus,,,NCD
t2dm,t2dm,type2 diabetes mellitus,,,NCD
tef,tef,Tracheoesophageal fistula,,,NCD
throat cancer,throat cancer,throat cancer,,,NCD
tia,tia,TIA,,,NCD
tongue scc cancer,tongue scc cancer,tongue scc cancer,,,NCD
type 1 dm,type 1 dm,type1 diabetes mellitus,,,NCD
type i diabetes,type i diabetes,type1 diabetes mellitus,,,NCD
ulcers,ulcers,ulcer,,,NCD
unstable angina,unstable angina,unstable angina,,,NCD
uti,uti,urinary tract infection,,,NCD
valvular heart disease,valvular heart disease,valvular heart disease,,,NCD
ventral hernia,ventral hernia,ventral hernia,,,NCD
wet gangrene,wet gangrene,wet gangrene,,,NCD
40-pack-year smoking,40-pack-year smoking,40-pack-year smoking,,,SYM
abd pain,abd pain,abdominal pain,,,SYM
abdominal and back pain,abdominal and back pain,abdominal and back pain,,,SYM
abdominal distention,abdominal distention,abdominal distention,,,SYM
abdominal pain,abdominal pain,abdominal pain,,,SYM
abdominal pressure,abdominal pressure,abdominal pressure,,,SYM
abdominal swelling,abdominal swelling,abdominal swelling,,,SYM
acute ams,acute ams,acute altered mental status,,,SYM
acute change in mental status,acute change in mental status,acute change in mental status,,,SYM
acute mental status change,acute mental status change,acute mental status change,,,SYM
agitated,agitated,agitate,,,SYM
agitation,agitation,agitation,,,SYM
altered mental status,altered mental status,altered mental status,,,SYM
amiodarone therapy,amiodarone therapy,amiodarone therapy,,,SYM
amiodarone toxicity screening,amiodarone toxicity screening,amiodarone toxicity screening,,,SYM
ams,ams,altered mental status,,,SYM
anorexia,anorexia,anorexia,,,SYM
antibiotic therapy,antibiotic therapy,antibiotic therapy,,,SYM
anuria,anuria,anuria,,,SYM
anxiety,anxiety,anxiety,,,SYM
aspiration,aspiration,aspiration,,,CF
aspiration event,aspiration event,aspiration event,,,SYM
ataxia,ataxia,ataxia,,,SYM
back pain,back pain,back pain,,,SYM
bleed,bleed,bleed,,,SYM
blood aspiration,blood aspiration,blood aspiration,,,SYM
blood loss,blood loss,blood loss,,,SYM
blood tinged sputum,blood tinged sputum,blood tinged sputum,,,SYM
blood-tinged sputum,blood-tinged sputum,blood-tinged sputum,,,SYM
bloody sputum,bloody sputum,bloody sputum,,,SYM
bloody stools,bloody stools,bloody stool,,,SYM
bm frequency,bm frequency,bm frequency,,,SYM
body aches,body aches,body ache,,,SYM
body pain,body pain,body pain,,,SYM
brbpr,brbpr,brbpr,,,SYM
breath-hold,breath-hold,breath-hold,,,SYM
burning sensation,burning sensation,burning sensation,,,SYM
change in mental status,change in mental status,change in mental status,,,SYM
chest bruising,chest bruising,chest bruising,,,SYM
chest burning,chest burning,chest burning,,,SYM
chest congestion,chest congestion,chest congestion,,,SYM
chest discomfort,chest discomfort,chest discomfort,,,SYM
chest heaviness,chest heaviness,chest heaviness,,,SYM
chest pain,chest pain,chest pain,,,SYM
chest pressure,chest pressure,chest pressure,,,SYM
chest tightness,chest tightness,chest tightness,,,SYM
chest wall pain,chest wall pain,chest wall pain,,,SYM
chills,chills,chill,,,SYM
choking,choking,choke,,,SYM
chronic abdominal pain,chronic abdominal pain,chronic abdominal pain,,,SYM
chronic aspiration,chronic aspiration,chronic aspiration,,,SYM
chronic coughing,chronic coughing,chronic cough,,,SYM
chronic dyspnea,chronic dyspnea,chronic dyspnea,,,SYM
chronic malnutrition,chronic malnutrition,chronic malnutrition,,,SYM
chronic nonhealing wound,chronic nonhealing wound,chronic nonhealing wound,,,SYM
clinical symptoms of pneumonia,clinical symptoms of pneumonia,clinical symptom of pneumonia,,,SYM
coffee ground emesis,coffee ground emesis,coffee ground emesis,,,SYM
confusion,confusion,confusion,,,SYM
congested coughing,congested coughing,congested cough,,,SYM
coughing,coughing,cough,,,SYM
coughing blood,coughing blood,cough blood,,,SYM
coughing with congestion,coughing with congestion,cough with congestion,,,SYM
crying,crying,cry,,,SYM
dark fluid,dark fluid,dark fluid,,,SYM
decreased arousal,decreased arousal,decrease arousal,,,SYM
dehydration,dehydration,dehydration,,,SYM
delirious,delirious,delirious,,,SYM
diaphoresis,diaphoresis,diaphoresis,,,SYM
diaphoretic,diaphoretic,diaphoretic,,,SYM
diarrhea,diarrhea,diarrhea,,,SYM
difficultly breathing,difficultly breathing,difficultly breathing,,,SYM
difficultly swallowing,difficultly swallowing,difficultly swallow,,,SYM
difficulty breathing,difficulty breathing,difficulty breathing,,,SYM
difficulty in breathing,difficulty in breathing,difficulty in breathing,,,SYM
difficulty speaking,difficulty speaking,difficulty speak,,,SYM
difficulty swallowing,difficulty swallowing,difficulty swallow,,,SYM
difficulty swallowing pills,difficulty swallowing pills,difficulty swallow pill,,,SYM
difficulty to ventilate,difficulty to ventilate,difficulty to ventilate,,,SYM
difficulty ventilating,difficulty ventilating,difficulty ventilate,,,SYM
difficulty venting,difficulty venting,difficulty vent,,,SYM
distended abdomen,distended abdomen,distended abdomen,,,SYM
diuresing,diuresing,diuresis,,,SYM
dizziness,dizziness,dizziness,,,SYM
doe,doe,dyspnea on exertion,,,SYM
dry coughing,dry coughing,dry cough,,,SYM
dullness,dullness,dullness,,,SYM
dysequilibrium,dysequilibrium,dysequilibrium,,,SYM
dysphagia,dysphagia,dysphagia,,,SYM
dyspnea,dyspnea,dyspnea,,,SYM
dyspnea on exertion,dyspnea on exertion,dyspnea on exertion,,,SYM
dysuria,dysuria,dysuria,,,SYM
early aspiration,early aspiration,early aspiration,,,SYM
eating,eating,eating,,,SYM
emesis,emesis,emesis,,,SYM
epigastric discomfort,epigastric discomfort,epigastric discomfort,,,SYM
epigastric pain,epigastric pain,epigastric pain,,,SYM
epistaxis,epistaxis,epistaxis,,,SYM
failure to thrive,failure to thrive,failure to thrive,,,SYM
failure to wean from vent,failure to wean from vent,failure to wean from vent,,,SYM
falls,falls,falls,,,SYM
fatigue,fatigue,fatigue,,,SYM
febrile,febrile,febrile,,,SYM
feeling hot,feeling hot,feel hot,,,SYM
flank pain,flank pain,flank pain,,,SYM
flu-like symptoms,flu-like symptoms,flu-like symptom,,,SYM
fluid status,fluid status,fluid status,,,SYM
foot pain,foot pain,foot pain,,,SYM
foreign body sensation,foreign body sensation,foreign body sensation,,,SYM
foul-smelling urine,foul-smelling urine,foul-smelling urine,,,SYM
found on the floor,found on the floor,found on the floor,,,SYM
frequent falls,frequent falls,frequent falls,,,SYM
frequent pneumonias,frequent pneumonias,frequent pneumonia,,,SYM
ftt,ftt,failure to thrive,,,SYM
gag response,gag response,gag response,,,SYM
gastrointestinal bleed,gastrointestinal bleed,gastrointestinal bleed,,,SYM
gastrointestinal bleeding,gastrointestinal bleeding,gastrointestinal bleeding,,,SYM
generalized weakness,generalized weakness,generalize weakness,,,SYM
gib,gib,gastrointestinal bleeding,,,SYM
groin pain,groin pain,groin pain,,,SYM
hacking coughing,hacking coughing,hack cough,,,SYM
head injury,head injury,head injury,,,SYM
headache,headache,headache,,,SYM
headaches,headaches,headache,,,SYM
hematemesis,hematemesis,hematemesis,,,SYM
hemoptysis,hemoptysis,hemoptysis,,,SYM
hemorrage,hemorrage,hemorrage,,,SYM
high blood loss,high blood loss,high blood loss,,,SYM
hoarse voice,hoarse voice,hoarse voice,,,SYM
home o2,home o2,home o2,,,SYM
home o2 requirement,home o2 requirement,home o2 requirement,,,SYM
hypotensive episodes,hypotensive episodes,hypotensive episode,,,SYM
hypothermia,hypothermia,hypothermia,,,SYM
hypoxic exercise change,hypoxic exercise change,hypoxic exercise change,,,SYM
ili symptoms,ili symptoms,ili symptom,,,SYM
immune status,immune status,immune status,,,SYM
immunocompromised,immunocompromised,immunocompromised,,,SYM
immunosuppressive,immunosuppressive,immunosuppressive,,,SYM
increased oxygen requirement,increased oxygen requirement,increase oxygen requirement,,,SYM
increased secretions,increased secretions,increase secretion,,,SYM
increased sputum,increased sputum,increase sputum,,,SYM
increased work of breathing,increased work of breathing,increase work of breathing,,,SYM
increasing sob,increasing sob,increase sob,,,SYM
